id,classes
0,1
1,1
2,2
3,1
4,1
5,2
6,1
7,2
8,1
9,1
10,2
11,2
12,1
13,1
14,1
15,2
16,1
17,2
18,1
19,2
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,1
42,1
43,1
44,2
45,2
46,2
47,1
48,1
49,2
50,1
51,2
52,1
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,1
61,1
62,2
63,2
64,2
65,1
66,2
67,2
68,2
69,1
70,1
71,2
72,1
73,1
74,2
75,1
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,2
84,2
85,2
86,1
87,2
88,1
89,1
90,2
91,1
92,1
93,2
94,2
95,2
96,1
97,2
98,2
99,1
100,2
101,2
102,2
103,2
104,1
105,2
106,2
107,2
108,2
109,1
110,1
111,2
112,2
113,1
114,1
115,2
116,1
117,2
118,2
119,2
120,1
121,2
122,1
123,2
124,2
125,2
126,1
127,1
128,1
129,2
130,2
131,2
132,1
133,1
134,1
135,2
136,2
137,2
138,2
139,2
140,1
141,1
142,2
143,1
144,2
145,1
146,2
147,1
148,2
149,2
150,2
151,1
152,2
153,2
154,2
155,1
156,1
157,1
158,2
159,2
160,2
161,1
162,2
163,1
164,1
165,1
166,1
167,2
168,1
169,1
170,1
171,1
172,2
173,2
174,2
175,2
176,1
177,2
178,2
179,1
180,2
181,1
182,2
183,1
184,1
185,2
186,2
187,1
188,1
189,2
190,2
191,2
192,2
193,2
194,1
195,1
196,1
197,2
198,1
199,2
200,1
201,2
202,1
203,2
204,2
205,2
206,1
207,1
208,2
209,1
210,2
211,1
212,2
213,2
214,1
215,1
216,1
217,1
218,2
219,1
220,2
221,1
222,2
223,2
224,2
225,2
226,2
227,1
228,2
229,2
230,1
231,2
232,2
233,2
234,1
235,1
236,2
237,2
238,1
239,2
240,1
241,1
242,1
243,1
244,2
245,1
246,1
247,1
248,2
249,1
250,2
251,2
252,1
253,2
254,2
255,1
256,2
257,2
258,2
259,2
260,2
261,1
262,1
263,2
264,1
265,2
266,2
267,1
268,1
269,2
270,1
271,2
272,1
273,1
274,2
275,2
276,2
277,1
278,1
279,1
280,2
281,1
282,2
283,2
284,1
285,2
286,1
287,2
288,2
289,1
290,2
291,2
292,2
293,2
294,2
295,2
296,1
297,1
298,2
299,2
300,1
301,1
302,2
303,1
304,2
305,1
306,2
307,2
308,1
309,2
310,1
311,1
312,2
313,1
314,2
315,1
316,1
317,1
318,1
319,1
320,2
321,2
322,2
323,1
324,2
325,1
326,2
327,1
328,1
329,1
330,2
331,1
332,2
333,1
334,2
335,2
336,2
337,1
338,2
339,1
340,2
341,2
342,2
343,2
344,2
345,1
346,2
347,1
348,1
349,2
350,2
351,2
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,2
360,1
361,1
362,2
363,2
364,2
365,1
366,1
367,2
368,2
369,2
370,2
371,1
372,1
373,2
374,2
375,1
376,2
377,1
378,1
379,2
380,2
381,1
382,2
383,1
384,2
385,2
386,1
387,2
388,2
389,1
390,2
391,1
392,2
393,1
394,2
395,1
396,1
397,2
398,2
399,1
400,1
401,1
402,2
403,1
404,1
405,2
406,1
407,2
408,2
409,1
410,1
411,2
412,1
413,1
414,2
415,2
416,1
417,2
418,1
419,2
420,2
421,1
422,1
423,1
424,2
425,1
426,1
427,2
428,1
429,1
430,1
431,1
432,2
433,2
434,1
435,2
436,2
437,2
438,1
439,2
440,2
441,2
442,2
443,1
444,2
445,2
446,1
447,1
448,2
449,1
450,2
451,2
452,2
453,2
454,1
455,1
456,2
457,1
458,1
459,2
460,1
461,1
462,2
463,1
464,2
465,2
466,2
467,1
468,2
469,1
470,2
471,1
472,1
473,1
474,2
475,2
476,2
477,1
478,2
479,1
480,2
481,2
482,2
483,1
484,1
485,2
486,2
487,1
488,1
489,1
490,2
491,1
492,1
493,2
494,2
495,2
496,1
497,2
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,1
506,2
507,2
508,2
509,1
510,2
511,2
512,2
513,2
514,2
515,1
516,2
517,1
518,2
519,1
520,1
521,1
522,2
523,2
524,2
525,2
526,2
527,1
528,1
529,1
530,1
531,2
532,1
533,2
534,1
535,2
536,1
537,1
538,1
539,1
540,2
541,2
542,2
543,2
544,2
545,1
546,2
547,1
548,2
549,2
550,1
551,1
552,2
553,2
554,1
555,2
556,2
557,1
558,2
559,1
560,2
561,2
562,2
563,1
564,2
565,1
566,1
567,2
568,1
569,1
570,2
571,1
572,2
573,2
574,2
575,1
576,1
577,2
578,1
579,2
580,2
581,1
582,1
583,2
584,1
585,2
586,2
587,2
588,2
589,1
590,2
591,2
592,2
593,2
594,1
595,1
596,1
597,2
598,1
599,1
600,2
601,2
602,1
603,1
604,1
605,2
606,2
607,1
608,1
609,1
610,1
611,1
612,2
613,2
614,1
615,1
616,2
617,1
618,1
619,2
620,2
621,1
622,1
623,1
624,1
625,2
626,1
627,1
628,1
629,2
630,1
631,2
632,1
633,2
634,2
635,1
636,1
637,2
638,1
639,1
640,1
641,1
642,1
643,2
644,2
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,2
654,1
655,2
656,1
657,2
658,1
659,2
660,1
661,1
662,1
663,2
664,1
665,2
666,1
667,1
668,2
669,1
670,2
671,2
672,2
673,1
674,1
675,2
676,2
677,1
678,1
679,1
680,1
681,1
682,2
683,1
684,1
685,2
686,1
687,2
688,2
689,2
690,1
691,1
692,1
693,1
694,2
695,1
696,2
697,2
698,1
699,1
700,2
701,2
702,2
703,2
704,1
705,2
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,1
714,1
715,2
716,2
717,2
718,1
719,1
720,1
721,2
722,1
723,2
724,1
725,1
726,2
727,2
728,2
729,1
730,1
731,1
732,2
733,2
734,2
735,2
736,1
737,2
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,2
753,2
754,2
755,1
756,1
757,1
758,2
759,2
760,1
761,2
762,1
763,2
764,2
765,2
766,1
767,1
768,1
769,1
770,2
771,1
772,2
773,2
774,1
775,2
776,2
777,2
778,2
779,1
780,1
781,1
782,2
783,1
784,2
785,2
786,1
787,1
788,2
789,2
790,2
791,2
792,2
793,2
794,1
795,1
796,1
797,1
798,1
799,2
