id,classes
0,2
1,1
2,1
3,2
4,2
5,2
6,2
7,1
8,1
9,2
10,1
11,1
12,1
13,2
14,2
15,1
16,1
17,2
18,1
19,1
20,1
21,2
22,2
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,1
31,2
32,2
33,2
34,1
35,1
36,1
37,1
38,2
39,2
40,1
41,1
42,1
43,1
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,1
56,2
57,1
58,2
59,2
60,1
61,1
62,2
63,1
64,2
65,2
66,1
67,2
68,2
69,1
70,1
71,2
72,2
73,2
74,1
75,2
76,1
77,2
78,2
79,1
80,2
81,1
82,2
83,2
84,2
85,2
86,1
87,1
88,2
89,2
90,1
91,2
92,1
93,1
94,1
95,2
96,2
97,1
98,1
99,2
100,1
101,2
102,1
103,2
104,1
105,2
106,1
107,2
108,1
109,1
110,2
111,1
112,2
113,1
114,2
115,2
116,1
117,1
118,2
119,2
120,1
121,1
122,2
123,1
124,2
125,2
126,2
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,2
136,2
137,1
138,1
139,2
140,1
141,2
142,1
143,1
144,1
145,2
146,2
147,1
148,1
149,2
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,1
165,2
166,1
167,2
168,2
169,1
170,1
171,1
172,1
173,2
174,2
175,2
176,1
177,1
178,1
179,1
180,1
181,2
182,1
183,1
184,1
185,2
186,2
187,2
188,2
189,1
190,1
191,2
192,2
193,1
194,1
195,1
196,1
197,2
198,2
199,2
200,1
201,2
202,2
203,2
204,1
205,1
206,1
207,1
208,1
209,2
210,2
211,2
212,1
213,2
214,2
215,2
216,2
217,1
218,2
219,1
220,1
221,2
222,2
223,2
224,2
225,2
226,2
227,1
228,2
229,2
230,2
231,2
232,1
233,2
234,2
235,2
236,2
237,1
238,1
239,1
240,1
241,1
242,2
243,1
244,1
245,2
246,2
247,1
248,1
249,2
250,2
251,1
252,2
253,1
254,2
255,2
256,2
257,2
258,1
259,2
260,1
261,1
262,1
263,2
264,2
265,2
266,2
267,2
268,1
269,2
270,2
271,2
272,1
273,2
274,2
275,2
276,1
277,2
278,1
279,2
280,1
281,1
282,2
283,1
284,1
285,2
286,1
287,1
288,2
289,1
290,2
291,1
292,2
293,1
294,2
295,1
296,2
297,1
298,2
299,1
300,1
301,1
302,2
303,1
304,2
305,1
306,1
307,2
308,2
309,2
310,2
311,2
312,1
313,1
314,1
315,2
316,1
317,1
318,2
319,1
320,1
321,2
322,2
323,1
324,1
325,2
326,2
327,1
328,2
329,1
330,2
331,1
332,1
333,2
334,2
335,2
336,2
337,1
338,1
339,2
340,1
341,1
342,2
343,2
344,2
345,2
346,1
347,1
348,2
349,1
350,1
351,2
352,2
353,1
354,2
355,2
356,2
357,1
358,1
359,2
360,2
361,1
362,2
363,1
364,1
365,2
366,1
367,2
368,2
369,1
370,2
371,1
372,1
373,1
374,1
375,2
376,1
377,2
378,1
379,2
380,1
381,2
382,2
383,1
384,1
385,2
386,1
387,2
388,1
389,1
390,2
391,2
392,1
393,1
394,2
395,1
396,1
397,2
398,2
399,1
400,1
401,1
402,2
403,2
404,2
405,2
406,2
407,1
408,1
409,1
410,2
411,1
412,2
413,1
414,2
415,2
416,1
417,1
418,2
419,2
420,2
421,2
422,1
423,2
424,2
425,2
426,1
427,1
428,2
429,2
430,2
431,1
432,1
433,2
434,1
435,1
436,1
437,2
438,1
439,2
440,2
441,2
442,2
443,1
444,2
445,1
446,1
447,1
448,2
449,2
450,2
451,1
452,2
453,1
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,2
462,2
463,2
464,1
465,2
466,1
467,2
468,1
469,2
470,1
471,1
472,2
473,2
474,2
475,1
476,2
477,1
478,2
479,2
480,1
481,1
482,1
483,2
484,2
485,2
486,2
487,2
488,1
489,2
490,2
491,2
492,2
493,1
494,2
495,2
496,2
497,1
498,2
499,2
500,1
501,2
502,2
503,2
504,2
505,1
506,2
507,1
508,2
509,2
510,2
511,1
512,2
513,1
514,1
515,1
516,1
517,1
518,1
519,2
520,2
521,1
522,2
523,1
524,1
525,1
526,1
527,2
528,1
529,2
530,1
531,1
532,1
533,2
534,2
535,1
536,1
537,2
538,1
539,2
540,1
541,2
542,2
543,2
544,1
545,2
546,2
547,2
548,1
549,2
550,1
551,2
552,2
553,1
554,1
555,2
556,2
557,2
558,2
559,1
560,2
561,2
562,1
563,2
564,2
565,2
566,2
567,1
568,1
569,1
570,2
571,2
572,2
573,1
574,1
575,2
576,1
577,2
578,2
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,2
587,1
588,1
589,2
590,2
591,1
592,2
593,1
594,2
595,1
596,2
597,1
598,1
599,2
600,2
601,2
602,1
603,1
604,1
605,1
606,1
607,2
608,2
609,1
610,1
611,1
612,2
613,1
614,1
615,2
616,2
617,1
618,1
619,2
620,2
621,1
622,1
623,1
624,1
625,2
626,2
627,1
628,2
629,2
630,2
631,2
632,2
633,1
634,2
635,2
636,2
637,2
638,2
639,2
640,1
641,1
642,1
643,2
644,2
645,1
646,2
647,2
648,1
649,1
650,2
651,2
652,2
653,2
654,2
655,2
656,1
657,2
658,2
659,2
660,1
661,2
662,1
663,2
664,1
665,2
666,1
667,2
668,1
669,2
670,1
671,1
672,1
673,2
674,2
675,1
676,2
677,2
678,2
679,2
680,1
681,1
682,1
683,1
684,2
685,1
686,2
687,1
688,2
689,2
690,1
691,2
692,2
693,2
694,1
695,1
696,2
697,2
698,2
699,2
700,1
701,1
702,1
703,1
704,1
705,2
706,2
707,1
708,2
709,1
710,1
711,1
712,1
713,2
714,1
715,1
716,2
717,2
718,2
719,1
720,1
721,1
722,1
723,2
724,1
725,1
726,2
727,2
728,1
729,2
730,2
